Phylum,Average G4 Density (per Mb)
Deinococcota,2284.8124787284573
Candidatus Bipolaricaulota,1836.3154191269718
Chlorophyta,1382.0254706013477
Peploviricota,1335.9492688034989
Euglenozoa,1112.940110736918
Dividoviricota,971.7807168137139
Rhodothermota,759.9440994910252
Candidatus Korarchaeota,742.4138319051873
Cressdnaviricota,703.7067494388847
Myxococcota,665.3715787030881
Candidatus Verstraetearchaeota,655.9640721521473
Preplasmiviricota,575.6303803684971
Gemmatimonadota,553.858858758135
Chordata,532.4446537638661
Synergistota,507.4058392668781
Basidiomycota,492.6629507569926
Candidatus Beckwithbacteria,490.52851351763235
Actinomycetota,474.28154443890065
Candidatus Binatota,455.4212176005345
Verrucomicrobiota,450.4177414481814
Armatimonadota,442.025212087675
Chloroflexota,439.40436315837985
Microsporidia,437.89271131184324
Acidobacteriota,435.65837030904135
Thermodesulfobacteriota,425.2734901421198
candidate division NC10,424.65019939306626
Kiritimatiellota,421.13531607565415
Thermomicrobiota,420.14329576469964
Cyanobacteriota,406.9185022684712
Artverviricota,382.24448252347224
Candidatus Latescibacteria,379.8163161172726
Cossaviricota,363.85063198291937
Kitrinoviricota,363.12140165771217
Nitrospirota,351.1481391593113
Planctomycetota,349.2514083953934
Abditibacteriota,337.9544780893068
Chrysiogenota,334.2916764918723
Mollusca,330.29113051078747
Candidatus Peregrinibacteria,322.5899652611846
Candidatus Tectomicrobia,320.1974914927275
Candidatus Fervidibacteria,312.125042556808
Candidatus Sumerlaeota,308.5945872813425
Annelida,279.1661197961307
Nitrospinota,272.89935211520196
Saleviricota,260.3059858853474
Thermoproteota,260.0467188855341
Pisuviricota,247.36763257641172
Ascomycota,243.846638540462
Hofneiviricota,233.69374965675274
Balneolota,219.5961247687895
