Accession,g4_count,Genome Size,Taxa,Domain,G4 Density (per Mb),log10(Genome Size),log10(G4 count),log10(G4 Density),log10(Genome Size) binned
GCA_031844645.1,0.0,6733472.0,bacteria,Bacteria,0.0,6.828239058521227,0.0,0.0,6
GCA_958295725.1,0.0,3665566.0,bacteria,Bacteria,0.0,6.564141043560494,0.0,0.0,6
GCA_003627035.1,0.0,1289211.0,bacteria,Bacteria,0.0,6.110324002408805,0.0,0.0,6
GCF_024338845.1,0.0,981938.0,bacteria,Bacteria,0.0,5.992084067106779,0.0,0.0,5
GCA_020541345.1,0.0,980458.0,bacteria,Bacteria,0.0,5.991428994476096,0.0,0.0,5
GCF_000006625.1,0.0,751719.0,bacteria,Bacteria,0.0,5.876055527352486,0.0,0.0,5
GCF_000019345.1,0.0,751679.0,bacteria,Bacteria,0.0,5.876032417332012,0.0,0.0,5
GCF_006716515.1,0.0,741809.0,bacteria,Bacteria,0.0,5.8702920981037074,0.0,0.0,5
GCF_002205735.1,0.0,727176.0,bacteria,Bacteria,0.0,5.861639536826167,0.0,0.0,5
GCF_021460135.1,0.0,726862.0,bacteria,Bacteria,0.0,5.861451964741479,0.0,0.0,5
GCF_000247565.1,0.0,719535.0,bacteria,Bacteria,0.0,5.857051923967092,0.0,0.0,5
GCA_023934045.1,0.0,654223.0,bacteria,Bacteria,0.0,5.815725808204582,0.0,0.0,5
GCA_000007365.1,0.0,641454.0,bacteria,Bacteria,0.0,5.807165517667352,0.0,0.0,5
GCA_004379655.1,0.0,551627.0,viral,Virus,0.0,5.741645515052827,0.0,0.0,5
GCA_004379635.1,0.0,550702.0,viral,Virus,0.0,5.740916653723677,0.0,0.0,5
GCA_004379575.1,0.0,550552.0,viral,Virus,0.0,5.740798344645683,0.0,0.0,5
GCA_004379675.1,0.0,550053.0,viral,Virus,0.0,5.740404537673483,0.0,0.0,5
GCA_004379535.1,0.0,549839.0,viral,Virus,0.0,5.7402355410441785,0.0,0.0,5
GCA_004379515.1,0.0,547991.0,viral,Virus,0.0,5.73877342585219,0.0,0.0,5
GCA_004379555.1,0.0,546746.0,viral,Virus,0.0,5.737785614417892,0.0,0.0,5
GCA_004379615.1,0.0,546689.0,viral,Virus,0.0,5.73774033548409,0.0,0.0,5
